层门数,召回,停电自动平层保护装置,使用年限,使用频率,机房有降温设施,地坑潮湿,管理人员,故障率,量化考核,投诉,困人次数,主机,控制柜,安全保护装置,门锁,其它,高,中,低
6,0,1,12,46.5,1,0,1,9,80,0,0,0,0,0,0,0,0,1,0
6,0,1,12,76.3,1,0,1,9,80,0,1,0,2,0,0,2,1,0,0
9,0,1,12,66.4,1,0,1,8,80,0,1,0,0,2,0,0,1,0,0
24,0,1,12,89.2,1,0,1,8,80,0,0,0,0,2,0,3,1,0,0
16,0,0,3,26.7,1,0,1,6,70,2,3,1,0,0,0,0,1,0,0
12,0,0,4,0.7,0,1,0,0,90,0,0,0,1,0,0,0,0,0,1
12,0,0,4,19.7,0,1,0,3,90,0,0,1,0,2,2,0,0,1,0
22,0,0,8,3.7,0,1,0,6,60,1,1,2,0,2,0,0,1,0,0
18,0,0,8,1.1,0,0,0,3,80,0,0,0,0,0,1,1,0,1,0
18,0,0,8,8.5,0,0,0,7,80,0,0,0,0,0,1,1,0,1,0
14,0,0,8,7.9,0,0,1,9,80,1,1,0,0,1,0,0,0,1,0
9,0,0,8,40.5,0,0,1,8,63,0,1,1,0,4,0,1,1,0,0
14,0,0,7,13.8,1,1,1,7,80,0,0,0,0,0,0,1,0,1,0
19,1,0,7,22.2,1,1,1,2,80,0,0,0,0,0,0,1,0,1,0
12,0,0,7,27.2,0,1,1,3,91,0,0,0,0,0,2,0,0,0,1
12,0,0,7,0.2,0,1,1,0,92,0,0,0,0,0,0,1,0,0,1
12,0,0,7,12.4,0,1,1,1,92,0,0,1,0,0,0,1,0,0,1
11,0,0,7,15.5,0,1,1,2,96,0,0,1,0,1,0,1,0,0,1
11,1,0,7,14.4,0,0,0,6,60,1,1,0,3,1,1,0,1,0,0
12,0,0,7,23.1,0,0,0,5,92,0,0,0,0,0,1,0,0,0,1
12,0,0,7,21.9,0,0,0,4,93,0,0,0,0,0,0,1,0,0,1
12,0,0,7,10.2,0,0,0,2,91,0,0,0,0,1,0,0,0,0,1
12,0,0,7,5.6,0,0,0,1,90,0,0,0,0,1,1,1,0,0,1
9,0,0,7,7.7,0,1,1,1,95,0,0,0,1,0,0,1,0,0,1
10,0,0,7,14.3,1,1,1,6,80,0,0,0,2,0,1,2,0,1,0
25,0,0,7,50.2,1,0,1,5,70,1,1,0,2,4,0,1,1,0,0
25,1,0,7,46.4,1,0,1,3,75,0,0,3,0,1,0,3,1,0,0
14,0,0,7,1.7,1,0,1,0,72,0,0,0,0,1,0,1,0,0,1
14,0,0,7,30.1,1,0,1,4,74,0,0,0,0,1,0,1,0,1,0
14,0,0,7,9.6,1,0,1,1,70,0,0,0,0,1,0,1,0,0,1
14,0,0,7,41.4,1,0,1,7,70,1,1,0,0,1,0,1,1,0,0
12,0,0,7,3.5,0,0,0,2,90,0,0,0,0,1,0,1,0,0,1
11,0,0,7,6.7,0,0,0,3,90,0,0,0,0,1,0,1,0,0,1
11,0,0,7,9.9,0,0,0,5,90,0,0,0,0,1,0,1,0,1,0
11,0,0,7,8,0,0,0,1,90,0,0,0,0,1,0,1,0,0,1
9,0,0,7,16,0,0,0,0,90,0,0,0,0,1,0,1,0,0,1
9,0,0,7,29.5,0,1,1,0,80,0,0,1,1,0,1,1,0,1,0
12,0,0,7,26.5,0,1,1,1,80,0,0,1,1,0,1,1,0,1,0
12,0,0,6,35.6,0,1,1,5,70,0,1,0,1,1,0,1,1,0,0
12,1,0,6,35.7,0,1,1,6,70,0,0,0,1,1,0,1,0,1,0
12,0,0,6,29.8,0,1,1,5,70,0,0,0,1,1,0,1,0,1,0
6,0,0,6,37.4,1,0,1,6,80,0,0,0,0,0,1,1,0,1,0
23,0,0,6,37,1,0,1,8,80,0,1,0,0,0,1,1,1,0,0
23,0,0,6,34.7,1,0,1,9,80,1,0,0,0,0,1,1,1,0,0
16,0,0,6,24.3,0,0,0,3,80,0,0,0,1,1,0,1,0,1,0
16,1,0,6,8.6,0,0,0,4,80,0,0,0,1,1,0,1,0,1,0
16,0,0,6,15.2,0,0,0,2,80,0,0,0,1,1,0,1,0,1,0
12,0,0,4,9.2,1,1,0,2,70,0,1,0,0,0,1,1,1,0,0
19,0,0,4,49.8,1,1,0,9,70,1,0,1,0,0,1,1,1,0,0
19,0,0,4,45.1,1,1,0,8,70,0,0,1,0,0,1,1,1,0,0
7,0,1,13,52.5,1,0,1,8,85,0,0,0,1,0,0,1,0,1,0
6,0,1,16,68.3,1,0,1,7,80,0,1,0,0,1,0,1,1,0,0
9,0,1,12,69.4,1,0,1,9,63,1,2,0,0,2,0,4,1,0,0
23,0,1,11,52.5,1,1,1,6,75,0,0,0,1,0,0,0,0,1,0
16,0,0,3,23,1,0,1,7,65,1,2,2,0,0,3,1,1,0,0
12,0,0,3.5,0.8,0,1,0,0,95,0,0,0,1,0,0,1,0,0,1
13,0,0,4,18.6,0,1,0,4,80,0,0,1,0,1,0,0,0,1,0
24,0,0,7.6,3.5,0,1,0,2,65,1,1,0,0,2,1,0,1,0,0
18,0,0,7.5,1.3,0,0,0,4,80,0,0,0,1,0,1,0,0,1,0
19,0,0,9,8.6,0,0,0,7,80,0,0,0,2,0,1,1,0,1,0
15,0,0,8,7.9,0,0,1,9,67,2,1,0,0,3,0,3,1,0,0
8,0,0,10,18,0,0,1,8,70,0,2,2,0,0,1,0,1,0,0
13,0,0,7,13.8,1,1,1,7,80,0,0,0,0,2,0,1,0,1,0
18,1,0,7,22.2,1,1,1,2,80,0,0,0,1,0,0,1,0,1,0
11,0,0,7,27.2,0,1,1,3,90,0,0,0,0,0,1,0,0,0,1
13,0,0,7,0.3,0,1,1,0,95,0,0,0,0,0,0,2,0,0,1
13,0,0,10,12.5,1,0,1,1,92,0,0,1,0,0,0,1,0,0,1
10,0,0,8,16.5,0,1,1,2,85,0,0,1,0,0,0,1,0,0,1
10,1,0,5,14.6,0,0,0,4,62,1,1,0,0,1,1,0,1,0,0
14,0,0,6,23,0,0,0,5,85,0,0,0,0,0,1,0,0,0,1
15,0,0,8,21.9,0,0,0,4,96,0,0,0,0,0,0,1,0,0,1
15,0,0,5,10.6,0,0,0,2,94,0,0,0,0,1,0,0,0,0,1
16,0,0,6,5.9,0,0,0,1,98,0,0,0,0,0,0,1,0,0,1
7,0,0,5,8.3,0,1,1,1,90,0,0,0,1,0,0,1,0,0,1
8,1,0,10,14.6,1,1,1,6,75,0,0,0,1,0,0,1,0,1,0
17,0,0,12,55,1,0,1,5,63,2,2,0,0,3,0,2,1,0,0
19,1,0,14,48,1,0,1,3,70,0,0,0,0,2,0,3,1,0,0
12,0,0,3,2.3,1,0,1,0,70,0,0,0,0,1,0,1,0,0,1
14,0,0,15,28.6,1,0,1,2,70,0,0,0,0,1,0,1,0,1,0
13,0,0,10,10.6,1,0,1,1,70,0,0,0,0,1,0,1,0,0,1
11,0,0,9,56,1,0,1,7,70,1,2,0,0,3,0,2,1,0,0
10,0,0,8,4.6,0,0,0,2,90,0,0,0,0,1,0,1,0,0,1
15,0,0,8,8.7,0,0,0,3,90,0,0,0,0,1,0,1,0,0,1
13,0,0,7,10.1,0,0,0,5,90,0,0,0,0,1,0,1,0,1,0
14,0,0,8,9,0,0,0,1,90,0,0,0,0,1,0,1,0,0,1
18,0,0,9,18,0,0,0,0,90,0,0,0,0,1,0,1,0,0,1
7,0,0,5,32.6,0,1,1,0,80,0,0,1,1,0,1,1,0,1,0
10,0,0,10,28.9,0,1,1,1,80,0,0,1,1,0,1,1,0,1,0
13,0,0,6,45,0,1,1,5,70,0,1,0,2,3,0,1,1,0,0
10,1,0,8,40.3,0,1,1,6,70,0,0,0,1,1,0,1,0,1,0
14,0,0,7,30.5,0,1,1,5,70,0,0,0,1,1,0,1,0,1,0
8,0,0,8,36.4,1,0,1,6,80,0,0,0,0,0,1,2,0,1,0
25,0,0,5,38.4,1,0,1,9,64,0,1,0,0,0,1,1,1,0,0
26,0,0,5,36.8,1,0,1,10,75,1,0,0,0,0,1,1,1,0,0
17,0,0,3,20.4,0,0,0,3,80,0,0,0,1,1,0,1,0,1,0
18,1,0,4,10.6,0,0,0,4,80,0,0,0,1,1,0,1,0,1,0
20,0,0,5,18.6,0,0,0,2,80,0,0,0,1,1,0,1,0,1,0
10,0,0,7,10.4,1,1,0,3,70,0,3,0,0,0,1,1,1,0,0
23,0,0,6,52.6,1,1,0,10,70,1,0,1,0,0,1,1,1,0,0
14,0,0,5,36.5,1,1,0,9,62,0,0,1,0,0,1,1,1,0,0